Date,Unnamed: 0,Unnamed: 0.1,Day,Month,Year,dict_sentiment,sentiment_polarity,sentiment,vadar_polarity,vadar_index,Brent
12/11/17,990.8333333,990.8333333,11,12,2017,2,0.069945722,0,0.560783333,0,64.69
12/12/17,1008.5,1008.5,12,12,2017,3.833333333,0.033513641,0.166666667,0.593183333,0.5,63.34
13/12/17,533.8571429,533.8571429,13,12,2017,0.142857143,-0.008325814,-0.285714286,0.044414286,-0.285714286,62.44
14/12/17,1098.7,1098.7,14,12,2017,0.6,0.061590389,0.1,0.13759,-0.2,63.31
15/12/17,1101.222222,1101.222222,15,12,2017,-0.333333333,-0.03277082,0.111111111,0.417522222,0,63.23
16/12/17,1628,1628,16,12,2017,-1,-0.041987179,-1,-0.8945,-1,63.41
18/12/17,762.5,762.5,18,12,2017,0.666666667,0.101611437,0.666666667,0.52715,0.166666667,63.41
19/12/17,783,783,19,12,2017,0,0.035590516,0.166666667,0.38595,0,63.8
20/12/17,977.4,977.4,20,12,2017,0.4,0.011158925,0,0.0554,0,64.56
21/12/17,1244.857143,1244.857143,21,12,2017,1.142857143,0.030043266,0.142857143,0.848885714,0.428571429,64.9
22/12/17,697.5,697.5,22,12,2017,2,0.042008135,0,0.97685,1,65.25
24/12/17,1024.5,1024.5,24,12,2017,0,0.024479167,-0.25,0.257625,-0.25,65.25
25/12/17,367,367,25,12,2017,7,0.042137282,0,0.9783,1,67.02
26/12/17,627,627,26,12,2017,1,-0.168866404,-0.666666667,0.000233333,-0.166666667,67.02
28/12/17,658.5,658.5,28,12,2017,-0.5,0.1625,0,0.15435,0,66.72
29/12/17,527.2,527.2,29,12,2017,-0.2,0.010234119,-0.2,0.16354,0,66.87
30/12/17,1075,1075,30,12,2017,1,-0.131439394,-1,-0.6508,0,66.87
31/12/17,767,767,31,12,2017,0,0.067171717,0,-0.9341,-1,66.87
01/01/18,1393,1393,1,1,2018,0,-0.125,-1,0.1531,0,66.57
01/02/18,1360.666667,1360.666667,2,1,2018,-0.666666667,0.044618565,-0.333333333,0.0585,-0.333333333,66.57
01/03/18,904.2857143,904.2857143,3,1,2018,1.714285714,0.051088031,0.142857143,0.827171429,0.571428571,67.84
01/04/18,886.75,886.75,4,1,2018,0.75,0.195115371,0.625,0.398375,-0.125,68.07
01/05/18,1248.6,1248.6,5,1,2018,-0.8,0.050843899,0.2,0.40834,0.2,67.62
01/06/18,1311,1311,6,1,2018,-2,-0.078571429,-1,-0.9545,-1,67.62
01/07/18,1450,1450,7,1,2018,0,-0.013392857,0,-0.7263,-1,67.78
01/08/18,986,986,8,1,2018,2,-0.014924296,0,0.1008,0,67.78
01/09/18,717.8,717.8,9,1,2018,-0.8,0.082491518,0.6,0.06308,0,68.82
01/10/18,1323.636364,1323.636364,10,1,2018,0.636363636,0.059800683,0.272727273,0.313536364,-0.090909091,69.2
01/11/18,1148.909091,1148.909091,11,1,2018,1.363636364,0.032646494,0.090909091,0.687063636,0.272727273,69.26
01/12/18,769.6666667,769.6666667,12,1,2018,0.333333333,0.000623858,-0.333333333,0.451366667,0.111111111,69.87
13/01/18,1764,1764,13,1,2018,0,0.125,1,0.6597,0,69.87
14/01/18,1262.5,1262.5,14,1,2018,2.5,0.017869102,0,0.35235,0.25,70.26
15/01/18,1268,1268,15,1,2018,0,-0.011298735,-0.4,-0.57904,-0.6,70.26
16/01/18,866.75,866.75,16,1,2018,1.125,0.099746893,0.125,0.08685,-0.125,69.15
17/01/18,1116.2,1116.2,17,1,2018,-0.2,0.031995798,-0.1,0.60243,0.2,69.38
18/01/18,808.8333333,808.8333333,18,1,2018,1,0.037373574,-0.083333333,0.261733333,0.083333333,69.31
19/01/18,836.8,836.8,19,1,2018,1.7,0.040901272,0,0.53775,0.4,68.61
20/01/18,1223.333333,1223.333333,20,1,2018,1,0.0056251,-0.333333333,-0.306966667,-0.666666667,68.61
21/01/18,1389.4,1389.4,21,1,2018,-0.2,0.040390359,0.2,0.54362,0.4,69.03
22/01/18,956.25,956.25,22,1,2018,0.416666667,0.012862386,0.083333333,0.568408333,0.166666667,69.03
23/01/18,1109.25,1109.25,23,1,2018,1.25,0.022405846,-0.125,0.7561625,0.375,69.96
24/01/18,1259.75,1259.75,24,1,2018,0.5,0.107805174,0.75,0.795525,0.5,70.53
25/01/18,1301.714286,1301.714286,25,1,2018,1.142857143,0.093230561,0.285714286,0.534192857,0,70.42
26/01/18,1140.833333,1140.833333,26,1,2018,0.166666667,0.065471148,0.166666667,0.265333333,0.166666667,70.52
27/01/18,1201.333333,1201.333333,27,1,2018,1,0.007306358,0,0.2129,0,70.52
28/01/18,1274,1274,28,1,2018,-0.5,0.009510858,0,0.16745,0,69.46
29/01/18,725,725,29,1,2018,0.272727273,0.042308805,0,0.217872727,0.090909091,69.46
30/01/18,702.4,702.4,30,1,2018,1.2,0.026986797,0.2,-0.15126,-0.4,69.02
31/01/18,802,802,31,1,2018,0.642857143,0.02581366,0,0.143242857,0,69.05
02/01/18,1011.4,1011.4,1,2,2018,2.2,0.074932837,0.5,0.54173,0.1,69.65
02/02/18,997.8,997.8,2,2,2018,0,0.017228147,0.2,0.46016,0,68.58
02/03/18,1192,1192,3,2,2018,0,-0.177525253,-1,-0.9657,-1,68.58
02/04/18,1191,1191,4,2,2018,2.5,-0.024996318,-0.5,-0.91795,-1,67.62
02/05/18,1241,1241,5,2,2018,0.666666667,0.027101046,0.166666667,0.242333333,-0.166666667,67.62
02/06/18,1004.5,1004.5,6,2,2018,1.833333333,0.071392566,0.5,0.886683333,0.5,66.86
02/07/18,878.5454545,878.5454545,7,2,2018,0.909090909,0.058384068,0.090909091,0.569609091,0,65.51
02/08/18,1220.846154,1220.846154,8,2,2018,0.230769231,0.054207998,0.230769231,0.543453846,0.230769231,64.81
02/09/18,1057.875,1057.875,9,2,2018,-0.75,0.099248956,-0.125,0.1204625,-0.25,62.79
02/10/18,116,116,10,2,2018,-1,-0.06136788,-1,-0.9423,-1,62.59
02/12/18,980,980,12,2,2018,5,0.063027185,0,0.9501,1,62.59
13/02/18,537.7777778,537.7777778,13,2,2018,-0.333333333,0.08400362,0.333333333,0.398288889,0,62.72
14/02/18,986.1538462,986.1538462,14,2,2018,1.076923077,0.054888342,0.307692308,0.354238462,0.307692308,64.36
15/02/18,928,928,15,2,2018,2.4,0.084674814,0.4,0.96886,0.8,64.33
16/02/18,793.1428571,793.1428571,16,2,2018,0.571428571,0.024936473,0.428571429,0.910214286,0.714285714,64.84
17/02/18,407,407,17,2,2018,0,-0.042361111,-1,-0.2079,0,65.67
19/02/18,1373.333333,1373.333333,19,2,2018,-1.333333333,0.053748462,0.333333333,-0.140666667,-0.333333333,65.67
20/02/18,916.1111111,916.1111111,20,2,2018,0.777777778,0.035519791,0.111111111,0.694277778,0.222222222,65.25
21/02/18,969.4285714,969.4285714,21,2,2018,0,0.0806847,0.285714286,0.315342857,0.285714286,65.42
22/02/18,1043.153846,1043.153846,22,2,2018,0.769230769,-0.042292533,-0.076923077,0.403815385,0.153846154,66.39
23/02/18,1266.545455,1266.545455,23,2,2018,-0.363636364,-0.009453546,-0.272727273,0.161881818,-0.181818182,67.31
24/02/18,333,333,24,2,2018,0,0,0,0.6597,0,67.31
25/02/18,1102.333333,1102.333333,25,2,2018,2.333333333,-0.015533425,-0.666666667,0.137733333,-0.333333333,67.5
26/02/18,1021.6,1021.6,26,2,2018,0,0.035895278,0.2,0.5055,0.3,67.5
27/02/18,970.6666667,970.6666667,27,2,2018,0.888888889,0.04969198,0.111111111,0.698877778,0.222222222,66.63
