positive step,positive
affecting sales growth,negative
approval,positive
beating,negative
better,positive
better than expected,positive
better margins,positive
challenging,negative
cancelled,negative
cancellation,negative
concerns,negative
contaminated,negative
challenged,negative
declined,negative
delivering,positive
difficult,negative
difficult one,negative
drag,negative
drag on sales,negative
drop,negative
dull,negative
failed,negative
favourable,positive
first,positive
strong growth,positive
health ,positive
initiated,positive
issued warning letter,negative
improvement,positive
improved,positive
jump,positive
lawsuit,negative
legal action,negative
lower than expected sales,negative
lower costs,positive
much better,positive
new,positive
positive,positive
potentially contaminated,negative
problem,negative
price erosion,negative
pricing pressure,negative
profitable,negative
profit warning,negative
promote,positive
recall,negative
reported lower than expected sales,negative
resolution,positive
revamp,positive
sales declined,negative
sanctions,negative
significant violations,negative
slowdown,negative
struggle,negative
struggled,negative
stability,positive
Stellaræ,positive
successful,positive
toll,negative
tough,negative
uncertain,negative
violations,negative
warned,negative
warning,negative
warning letter,negative
weak,negative
whacked,negative
